role,skills,education,experience_type
software_engineer,"account reconciliations, accounting, accounts payable, accounts receivable, ap, balance sheet, bank reconciliation, banking, billing, book, client, coding, com, developer, edit, finance, financial reports, financials, focus, functional, general ledger, gl, inventory control, invoice processing, invoicing, mail, mba, office, preparing financial reports, process invoices, profit and loss statement, reporting, researching, sap, sap fi","MBA, B.Com, Diploma",experienced
management trainee - mechanical,"basic knowledge of microsoft powerpoint and excel, cpr & first aid certified, proficient in microsoft word",Bachelor of Science,experienced
hr,"abila mip fund accounting software, adp, excel, microsoft office (word, outlook), paychex, payroll experts, power point, quickbooks, quickbooks payroll systems, quickbooks pro, quicken",Bachelor of Science,experienced
ai engineer,"a, access, account reconciliation, accounting, accounting software, accounts payables, accounts receivables, analyze financial statements, arabic, balance sheet, bank reconciliations, banking, billing, bookkeeping, budget, budgeting, budgets, client, clients, closing, controller, documentation, english, equity, excel, express, finance, financial, financial analysis, financial statements, fixed assets, forecasting, general accounting, general ledger, gl, inventory, investments, ledger, market, monitors, ms word, organizational, outlook, p, payables, payroll, personnel, powerpoint, prepare financial statements, problem solving, processes, profit, profit and loss account, public accounting, quickbooks, reporting, sales, strong communication skills, supervision, swedish, tax, tax returns, year-end","Master of Accountancy, Bachelor of Accountancy Degree, Bachelor of Accountancy, Certificate of Business Administration",experienced
software_engineer,"banking, c, client, clients, closing, consulting, contracts, crm, customer relationship management, e-mail, energy saving, focus, forms, functional, hardware, insurance, managing, market, marketing, microsoft office suite, network, new business development, newsletter, office, outlook, proposals, sales, salesforce.com crm, selling, six sigma, utilities",B.S,experienced
mechanical engineer,"lasso regression, linear regression, machine learning, ridge regression, tableau, time series analysis",B.Tech,experienced
marketing,"css, deep learning, flutter, front end, html, javascript, machine learning, neural networks, python, tensorflowjs, web development",B.Tech,experienced
management trainee - mechanical,"business intelligence, dbms, java, learning algorithm, machine learning, python, rdbms, sas, software developer, software engineer, sql",Integrated B.Tech & M.Tech,experienced
site engineer,"c++, change management, data structures, defect management, embedded software development, embedded systems, git, machine learning, project management, python, unit testing","B.Tech, M.Tech",experienced
intern,"3d printing, abaqus, advanced manufacturing, advanced material selection for rapid prototyping, analysis (linear & non-linear static, ansys, autocad, autodesk inventor, cad packages (solidworks, cae softwares (hypermesh, catia, design for manufacturing, design optimization), dfmea, dynamic, gd & t, generating bill of materials, optistruct), ptc creo), sculpting, sheet metal, tolerance analysis, welding","Master's, Bachelor of Technology",experienced
